x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
6,2,2.1,3.29,410,3.65,2.97,0.84,19.28,4.1,62.31,3.72,0.1,1.07,18.4
7,3,0.15,1.9,450,3.3,2.95,0.75,19.65,4.13,63.29,3.63,0.03,0.89,18.4
7,3,0.09,2,441,3.78,2.8,0.84,19.54,4.06,62.97,3.8,0.1,0.71,18.4
8,3,0.35,2.2,426,3.97,2.9,0.84,19.48,3.91,62.53,3.99,0.1,1,18.4
10,3,0.41,2.51,411,3.88,2.86,0.6,19.31,3.9,63.14,3.9,0.04,0.98,18.4
12,3,0.3,2.29,427,3.63,2.77,0.69,19.92,4.55,62.54,3.74,0.03,0.88,18.4
2,2,0.24,2.12,413,3.47,3,0.63,19.83,4.35,62.59,3.86,0.03,0.92,18.4
3,2,0.24,2.65,402,3.18,2.66,0.58,19.75,4.34,62.61,3.75,0.03,0.97,18.4
10,3,0.26,1.84,417,3.88,2.78,0.56,19.2,3.94,62.97,3.88,0.04,0.82,18.5
12,3,0.69,3.15,428,3.44,3.06,0.77,20.21,4.42,63.76,3.82,0.03,1.03,18.5
12,3,0.42,2.57,424,3.67,2.91,0.59,19.64,4.38,62.68,3.73,0.03,0.82,18.5
12,2,0.26,1.7,430,2.02,2.88,0.81,22.64,4.82,60.9,4.79,0.14,1.2,18.6
7,2,0.14,1.9,452,3.78,2.83,0.81,19.81,4.33,62.82,3.71,0.11,0.96,18.6
4,2,0.6,2.57,372,2.36,2.71,0.78,20.24,3.9,63.03,3.84,0.03,0.95,18.6
6,3,0.26,2.2,384,1.98,2.84,0.84,20.1,4.11,63.25,4.02,0.04,0.77,18.6
6,3,0.14,1.6,408,2.5,3.02,0.73,19.95,4.25,62.8,3.61,0.04,0.91,18.6
11,3,0.25,2.21,396,3.82,2.9,0.53,19.59,4.42,63.07,3.89,0.03,0.87,18.6
3,3,0.25,1.99,403,2.08,2.94,0.79,22.21,4.91,61.39,4.21,0.09,1.02,18.7
4,2,0.29,1.64,414,1.91,2.87,0.79,20.84,4.56,62.88,3.88,0.04,0.94,18.7
6,2,0.07,2.1,427,3.64,2.87,0.84,19.89,4.33,63.14,3.64,0.1,0.95,18.7
9,2,0.27,2.02,405,3.54,2.94,0.8,19.92,4.67,62.95,3.25,0.04,0.89,18.7
1,2,0.24,2.5,418,3.82,2.92,0.61,19.77,4.23,62.79,3.98,0.03,0.95,18.7
7,2,0.39,2.32,464,2.26,2.9,0.84,22.66,4.7,61.9,4.9,0.14,1,18.8
11,2,0.06,1.28,413,2,2.86,0.71,22.29,4.1,60.6,4.65,0.09,1.18,18.8
6,2,0.11,2.29,442,2.44,2.97,0.68,20.05,4.37,63.34,3.72,0.04,0.84,18.8
8,3,0.2,1.98,432,3.56,3.22,0.8,19.29,3.9,62.52,3.55,0.1,0.68,18.8
11,2,0.24,2.09,399,3.8,2.9,0.54,19.64,4.55,62.98,3.89,0.03,0.84,18.8
1,3,0.2,2.3,396,2.66,2.86,0.66,19.82,3.95,62.57,3.99,0.03,0.96,18.8
1,3,0.23,2.85,390,3.31,2.88,0.69,19.86,3.3,62.6,3.56,0.03,0.96,18.8
4,2,0.23,2.16,436,2.13,2.85,0.73,22.19,4.21,60.68,4.73,0.13,1.07,18.9
12,2,0.18,1.9,422,1.63,2.83,0,21.91,4.69,60.79,4.08,0,1.05,18.9
3,2,0.25,1.81,420,2.08,2.91,0.78,22.25,5.03,61.25,4.2,0.1,1.06,18.9
4,3,0,1.53,402,1.83,2.81,0.78,20.92,4.2,63,3.98,0.04,0.94,18.9
6,3,0.32,3,430,3.04,2.81,0.84,20.04,4.13,63.19,3.89,0.03,0.8,18.9
6,3,0.18,2,397,2.37,2.79,0.84,19.96,4.3,62.3,3.68,0.1,0.56,18.9
10,3,0.19,1.93,426,3.9,2.9,0.64,19.69,3.83,63.23,3.92,0.03,0.97,18.9
12,2,0.23,2.96,389,4.05,2.87,0.59,19.51,4.33,62.7,3.7,0.03,0.83,18.9
1,2,0.39,2.71,380,3.74,2.93,0.58,19.31,4.23,62.6,3.76,0.03,0.92,18.9
1,2,0.36,2.54,417,3.85,3,0.6,19.72,4.14,62.31,3.91,0.03,0.92,18.9
3,3,0.27,2.3,398,3.41,2.92,0.58,19.85,4.33,62.57,3.74,0.02,1.05,18.9
10,2,0.15,1.96,425,1.9,3.06,0.77,22.77,4.02,61.2,4.77,0.08,1.03,19
3,2,0.11,1.65,429,1.76,2.81,0.85,22.36,4.16,60.91,4.54,0.1,1.09,19
3,3,0.11,1.59,407,1.96,2.92,0.84,21.45,4.65,61.47,4.24,0.1,1.1,19
5,3,0.24,2.5,410,2.01,2.91,0.74,20.36,4.15,63.68,3.75,0.04,0.96,19
6,2,0.02,1.9,376,2.56,2.92,0.89,19.91,4.49,62.14,3.31,0.04,0.88,19
7,2,0.27,2.2,455,4.1,2.76,0.84,19.4,4.1,62.31,3.6,0.1,0.77,19
9,2,0.09,2.34,424,3.17,3.05,0.75,19.8,4.7,63.34,3.19,0.04,0.85,19
11,3,0.56,2.5,400,3.84,2.92,0.54,19.67,4.04,63.36,4,0.03,0.94,19
12,3,0.18,1.83,453,3.37,2.95,0.77,20.11,4.57,62.23,3.77,0.03,0.97,19
12,3,0.33,2.12,416,3.71,2.82,0.61,19.8,4.7,62.79,3.58,0.03,0.78,19
3,2,0.19,2.09,399,3.23,2.83,0.65,19.83,4.26,62.54,3.88,0.03,1,19
1,2,0.68,4.45,399,1.58,2.88,0.71,22.62,4.08,61.09,4.58,0.13,1.01,19.1
3,2,0.21,2.03,410,1.99,2.92,0.65,22.46,4.76,61.92,4.9,0.14,0.87,19.1
8,2,0.16,2.11,438,3.3,2.83,0.86,20.4,4.02,62.31,3.86,0.11,1.13,19.1
8,2,0.36,2.35,449,3.32,2.85,0.9,20,4.49,62.55,3.6,0.11,0.92,19.1
9,2,0.18,2.16,451,3.38,2.81,0.88,21.66,4.12,60.91,4.01,0.1,0.96,19.1
10,2,0.15,1.98,424,2.95,2.87,0.86,21.66,4.49,60.86,4.02,0.1,1.11,19.1
3,3,0.17,1.67,402,1.85,2.86,0.83,20.7,4.72,62.27,3.97,0.09,1.02,19.1
8,2,2.5,0.26,405,3.43,2.9,0.84,19.84,3.79,62.27,4.19,0.03,0.85,19.1
9,2,0.22,2.24,433,3.66,2.84,0.84,19.42,4.82,62.92,3.32,0.1,1,19.1
9,3,0.3,2.58,426,3.8,2.82,0.84,19.34,4.8,62.96,3.32,0.04,1,19.1
4,2,0.17,1.96,436,4.58,2.9,0.71,20.11,3.64,63.13,4.19,0.12,0.9,19.2
3,3,0.09,1.47,422,1.81,2.92,0.91,22.33,4.09,61.2,4.53,0.09,1.06,19.2
6,3,0.29,2.3,403,3.48,2.9,0.67,20.58,4.08,64.71,3.76,0.1,0.72,19.2
12,3,0.39,2.6,436,3.67,2.89,0.62,19.68,4.53,62.87,3.68,0.03,0.82,19.2
4,2,0.29,2.46,419,1.67,2.9,0.84,22.46,4.66,61.4,4.89,0.13,0.85,19.3
3,2,0.14,1.56,430,2.04,2.83,0.81,21.94,3.85,60.74,4.94,0.14,1.09,19.3
4,2,0.47,2.66,422,3.95,2.87,0.9,21.76,4,62.06,4.77,0.11,1.04,19.3
7,2,0.29,2.23,484,3.9,2.84,0.71,19.99,3.85,62.78,4.01,0.12,1.1,19.3
6,3,0.23,2.2,426,3.36,2.87,0.84,19.86,4.26,63.22,3.71,0.1,0.91,19.3
11,2,0.23,2.37,420,3.82,2.82,0.54,19.75,3.98,63,4.16,0.03,0.91,19.3
12,3,0.26,1.62,438,3.01,2.78,0.76,19.99,4.23,62.87,3.49,0.04,0.96,19.3
5,2,0.3,2.29,442,1.56,2.87,0.89,21.9,4.77,60.87,4.9,0.14,1.2,19.4
9,3,0.38,1.75,407,3.7,2.84,0.82,19.87,5.14,63.24,2.91,0.03,0.79,19.4
12,2,0.19,1.97,455,4.8,2.87,0.75,19.73,4.08,62.6,3.66,0.03,0.94,19.4
12,2,0.07,1.64,383,3.86,2.86,0.63,19.74,4.58,62.67,3.66,0.03,0.81,19.4
6,2,0.29,2.43,430,2.03,2.91,0.98,22.76,4.85,61.89,4.9,0.12,1.14,19.5
7,2,0.29,2.39,442,2.61,2.89,0.77,21.94,4.72,60.86,4.65,0.14,1.11,19.5
11,2,0.19,2.25,401,2.1,2.95,0.68,21.9,4.27,60.36,4.88,0.1,1.2,19.5
1,2,0.19,1.67,402,1.7,2.92,0.91,21.33,4.36,61.24,4.28,0.12,1.12,19.5
2,2,0.25,1.85,421,2.03,2.86,0.8,21.66,3.97,61.36,4.87,0.12,1.15,19.5
4,3,0.2,1.6,390,2.03,2.94,0.82,21.15,4.17,62.93,4.11,0.05,0.99,19.5
10,2,0.23,2.17,406,3.48,2.84,0.77,19.69,4.25,63.02,3.59,0.03,0.99,19.5
10,3,0.29,2.29,416,3.76,2.95,0.53,19.7,3.87,63.14,4.1,0.02,0.93,19.5
12,2,0.23,2.35,399,3.3,2.9,0.66,19.53,4.16,62.59,3.89,0.03,1.03,19.5
9,2,0.28,2.22,450,2.4,2.91,0.8,20.01,3.8,61.61,4.98,0.14,1.07,19.6
10,2,0.23,1.67,431,1.93,2.88,0.78,21.68,3.86,61.12,4.79,0.15,1.1,19.6
4,3,0.18,1.65,410,1.84,2.92,0.78,20.6,4.68,62.61,3.83,0.04,0.97,19.6
10,3,0.22,2.08,407,3.96,2.83,0.55,19.87,3.94,63.91,4.09,0.05,0.87,19.6
12,3,0.28,2.35,415,2.45,3.06,0.79,20.36,4.33,63.06,3.37,0.04,0.96,19.6
3,3,0.23,2.24,390,3.41,2.83,0.58,20.03,4.23,61.74,3.8,0.04,1.04,19.6
3,2,0.15,2.21,402,3.6,2.77,0.62,20.03,4.37,62.9,3.81,0.03,0.88,19.6
3,2,0.22,2.03,438,3.63,2.87,0.74,20.08,4.08,63.34,3.89,0.12,0.74,19.7
11,2,0.16,2.12,429,2.15,2.92,0.9,21.96,4.39,61.22,4.11,0.11,1.26,19.7
2,3,0.24,1.82,408,1.59,2.83,1.03,22.86,4.53,60.87,4.51,0.09,0.86,19.7
9,3,0.2,2.77,419,3.24,3.01,0.84,19.42,4.56,62.51,3.46,0.1,1,19.7
11,2,0.22,1.95,395,3.52,2.94,0.54,19.66,4.09,63.35,4.01,0.03,0.96,19.7
3,3,0.37,2.68,379,3.71,2.66,0.63,20.07,4.34,62.9,3.81,0.03,0.92,19.7
4,2,0.11,2.01,422,1.95,2.84,0.7,22.35,4.12,60.5,4.73,0.14,1.14,19.8
10,2,0.26,2.15,426,2.12,2.91,0.86,21.66,4.07,61.6,4.89,0.14,1.2,19.8
1,2,0.06,1.56,443,2.11,2.66,0.85,21.85,4.15,61.31,4.5,0.1,1.09,19.8
4,3,0.2,1.58,426,1.74,2.92,0.79,21.26,4.72,62.09,4.06,0.06,0.97,19.8
6,3,0.01,1.7,416,3.18,2.98,0.71,19.9,4.3,62.92,3.86,0.04,0.87,19.8
10,3,0.15,1.9,409,3.79,2.93,0.53,19.67,3.91,63.14,3.99,0.02,9.1,19.8
12,3,0.31,2.04,392,2.52,2.98,0.75,20.1,4.36,62.78,3.41,0.04,0.93,19.8
12,3,0.15,1.78,392,3.58,2.88,0.59,19.03,4.26,62.53,3.66,0.03,0.84,19.8
4,2,0.11,1.88,430,1.66,2.98,0.75,23.03,4.16,60.98,4.9,0.1,1.2,19.9
12,2,0.41,2.8,425,2.11,2.82,0.91,22.03,4.7,61.42,4.05,0.1,1.15,19.9
5,3,0.18,2.1,391,2.02,2.97,0.58,20.49,4.15,63.72,3.87,0.04,0.77,19.9
10,3,0.26,1.94,433,3.69,2.87,0.6,19.26,3.72,62.94,3.94,0.03,0.94,19.9
3,2,0.1,2.15,418,1.76,2.8,0.68,22.64,4.24,61.1,4.66,0.14,1.03,20
6,2,0.39,2.25,417,3.03,2.93,0.84,19.3,4.21,62.38,3.72,0.1,1.02,20
8,3,0.24,2.1,425,3.59,2.8,0.84,19.54,3.9,62.43,4.01,0.1,0.85,20
8,3,0.2,1.98,421,3.99,2.98,0.8,19.46,4.06,62.84,3.92,0.09,0.63,20
11,3,0.24,2.23,377,3.87,2.84,0.59,19.89,4.25,63.09,3.84,0.03,0.95,20
12,2,0.26,2.07,460,4.24,2.91,0.67,19.7,4.01,63.12,3.49,0.03,0.85,20
12,3,0.41,2.51,440,3.04,2.97,0.78,20.24,4.51,63.79,3.87,0.03,1.04,20
1,3,0.28,2.53,379,3.47,2.96,0.63,20.24,4.03,62.91,4.04,0.03,0.96,20
11,2,0.22,1.84,438,1.59,2.92,0.81,20.86,4.76,61.76,4.66,0.11,1.14,20.1
4,3,0.19,1.9,394,2.01,2.78,0.79,20.72,3.89,63.06,3.98,0.04,1,20.1
5,3,0.07,2.3,416,2.25,2.89,0.72,20.16,4.1,63.67,3.7,0.04,0.96,20.1
6,2,0.22,1.7,429,3.33,2.97,0.72,20.05,4.41,63.15,3.61,0.03,0.86,20.1
9,2,0.12,2.55,419,3.59,3.1,0.78,19.77,4.65,63.43,3.3,0.04,0.88,20.1
9,3,0.16,2.27,429,3.67,2.89,0.84,19.59,4.62,62.54,3.48,0.1,1.13,20.1
3,2,0.15,2.19,420,2,2.92,0.98,22.78,4.18,61.9,4.77,0.14,1.14,20.2
12,2,0.18,1.8,421,2.03,2.83,0.83,21.41,4.62,61.85,3.85,0.09,1.02,20.2
3,3,0.12,1.37,427,1.75,2.88,0.83,21.92,4.55,61.2,4.33,0.09,1.02,20.2
6,3,0.16,2.1,411,2.8,2.97,0.73,20.2,4.35,63.1,3.68,0.04,0.87,20.2
6,3,0.1,2.6,412,3.67,3.21,0.78,20.44,4.27,62.87,3.69,0.05,0.68,20.2
10,2,0.22,2.02,414,3.44,2.87,0.53,19.8,3.94,63.18,4.04,0.02,0.91,20.2
3,2,0.28,2.41,413,1.57,2.99,0.65,22.39,4.31,60.74,4.57,0.13,0.88,20.3
8,2,0.23,1.9,451,1.62,2.84,0.79,22.19,5.04,61.84,4.21,0.14,0.85,20.3
4,2,0.36,2.35,436,3.41,2.86,0.82,21.79,3.97,60.09,4.86,0.11,1.04,20.3
3,3,0.06,1.36,426,1.84,2.86,0.88,21.34,4.26,61.36,4.56,0.08,1.04,20.3
5,3,0.07,2.32,393,1.71,2.9,0.6,20.71,4.14,63.85,3.95,0.04,0.79,20.3
5,3,0.52,2.23,394,1.93,3.02,0.58,20.47,4.2,63.76,3.82,0.04,0.79,20.3
9,2,0.22,2.41,440,3.67,3.02,0.8,19.34,4.89,62.77,2.93,0.03,0.76,20.3
10,2,0.29,2.35,404,3.83,2.93,0.67,19.7,3.76,62.84,4.09,0.03,1.01,20.3
3,2,0,1.29,441,1.9,2.79,0.81,22.05,4.63,61.46,4.35,0.09,1.02,20.4
4,3,0,1.9,401,1.94,2.89,0.8,20.49,4.17,63,3.85,0.04,0.96,20.4
5,2,0.3,2.13,389,1.87,3.06,0.59,20.57,4.13,63.81,3.89,0.04,0.82,20.4
6,2,0.24,2.2,384,2.03,2.81,0.84,20.11,4.13,63.23,4.04,0.03,0.79,20.4
10,2,0.16,1.63,429,3.59,2.83,0.6,19.49,3.86,63.44,3.99,0.04,0.99,20.4
10,3,0.35,3.23,392,3.79,2.78,0.53,19.19,3.9,63.04,4,0.05,0.95,20.4
1,3,0.26,2.39,395,3.58,2.85,0.57,19.31,4.29,62.9,3.66,0.03,0.9,20.4
3,2,0.24,2.09,408,3.65,2.9,0.59,19.89,4.24,63.09,3.86,0.03,0.9,20.4
5,3,0.21,2.1,397,2.03,2.83,0.68,20.6,4.69,63.29,3.54,0.04,0.83,20.5
9,3,0.3,2.9,425,3.44,2.89,0.84,19.66,4.49,62.8,3.51,0.1,0.83,20.5
11,3,0.25,1.96,402,3.86,2.84,0.55,19.44,4.07,63.54,3.91,0.04,0.99,20.5
3,2,0.46,1.37,400,1.65,2.96,0.82,22.19,4.01,61.8,4.96,0.14,0.97,20.6
3,2,0.21,1.45,421,1.73,2.89,0.84,21.46,4.74,61.4,4.21,0.1,1.08,20.6
10,2,0.24,2.74,414,3.36,2.84,0.56,20.04,4.08,63.47,4.05,0.02,0.82,20.6
1,2,0.21,2.07,435,3.94,2.95,0.58,19.37,4.26,62.94,3.69,0.04,0.87,20.6
3,3,0.12,1.37,427,1.7,2.81,0.84,21.43,4.57,61.22,4.19,0.1,1,20.7
5,2,0.07,1,366,2.01,2.87,0.65,20.84,3.94,63.54,4.12,0.04,0.79,20.7
8,2,0.16,2.02,421,3.78,2.86,0.84,19.57,4.08,62.75,4.01,0.1,0.6,20.7
10,2,0.26,1.78,429,1.65,2.93,0.81,21.76,4.78,61.5,4.66,0.14,0.87,20.8
1,2,0.15,2.01,421,1.71,2.83,0.85,21.57,3.83,61.98,4.62,0.13,1.03,20.8
5,3,0,2,400,1.68,2.93,0.72,20.62,4.46,63.56,3.69,0.04,0.82,20.8
5,3,0.02,2.1,365,2.14,2.96,0.65,20.44,3.84,63.18,4.06,0.04,0.79,20.8
12,3,0.16,1.86,452,3.46,2.77,0.76,20.02,4.23,62.91,3.47,0.04,0.91,20.8
3,3,0.06,1.4,411,1.77,2.87,0.82,21.88,4.62,61.14,4.3,0.09,1.02,20.9
3,3,0.09,1.49,412,1.73,2.91,0.82,22.36,4.62,61.51,4.38,0.09,1.04,20.9
4,3,0.12,1.5,396,1.77,2.8,0.8,20.9,4.14,63.25,3.87,0.05,0.92,20.9
6,3,0.07,1.92,456,3.6,3.05,0.84,19.19,4.04,62.21,3.83,0.1,1.21,20.9
1,3,0.41,2.42,400,3.99,2.79,0.57,19.25,4.29,63.05,3.67,0.03,0.88,20.9
2,2,0.22,2.06,407,1.97,2.8,0.8,21.93,3.81,60.76,4.97,0.14,1.25,21
5,2,0.19,1.84,421,3.82,2.89,0.57,20.63,3.97,63.32,4.02,0.12,0.79,21
6,2,0.24,2.41,502,4.22,2.91,0.63,20.01,3.53,62.61,4.3,0.04,0.94,21
4,2,0.07,1.48,399,1.86,0.96,2.93,20.76,0.8,63.34,3.88,0.062,0.04,21
5,2,0.15,1.6,393,1.73,2.9,0.64,20.67,4.31,63.75,3.75,0.04,0.84,21
12,2,0.22,1.92,417,3.61,2.94,0.71,19.76,4.2,62.69,3.44,0.03,0.9,21
1,3,0.39,2.96,407,3.96,2.98,0.57,19.53,4.41,62.91,3.68,0.03,0.82,21
2,2,0.3,2.16,414,2.09,2.81,0.62,21.59,4.18,62.1,4.35,0.12,0.95,21.1
1,2,0.14,1.76,413,1.9,2.86,0.82,21.32,3.98,60.87,4.25,0.13,0.99,21.1
5,3,0.21,2.16,384,2.11,2.98,0.6,20.42,4.17,63.65,4.03,0.03,0.79,21.1
12,2,0.37,3.03,383,3.46,2.94,0.61,19.48,4.45,62.88,3.68,0.03,0.84,21.1
3,2,0.28,2.99,386,3.21,2.97,0.59,19.38,4.29,62.46,3.77,0.03,0.96,21.1
3,2,0.13,1.56,426,1.49,2.86,0.87,22.41,4.12,61.22,4.5,0.1,1.09,21.2
5,3,0.15,1.33,469,3.7,2.88,0.66,19.89,4.61,63.06,3.44,0.03,0.79,21.3
9,3,0.07,2.02,445,3.66,3,0.72,19.59,4.34,64,3.39,0.04,0.78,21.3
6,3,0.35,2.4,425,2.93,2.93,0.72,20,4.44,62.96,3.62,0.04,0.87,21.4
9,2,0.27,2.4,432,1.94,2.86,0.65,21.87,4.62,60.84,4.69,0.14,0.84,21.5
5,3,0.24,2.1,390,1.87,2.87,0.62,20.79,3.97,63.59,4.02,0.04,0.75,21.5
2,2,0.18,1.68,450,2.63,2.9,0.81,22,3.8,61.17,4.88,0.14,1.21,21.6
1,2,0.14,2,426,1.94,2.86,0.87,21.95,4.65,61.27,4.35,0.1,1.02,21.6
12,3,0.26,1.97,381,3.75,2.89,0.62,19.66,4.44,62.9,3.68,0.03,0.85,21.7
4,3,0.07,1.52,398,1.91,2.83,0.8,20.95,3.89,63.28,3.93,0.04,1.01,21.8
5,2,0,2.67,402,2.1,2.89,0.71,20.26,4.23,63.62,3.67,0.03,0.97,21.8
1,3,0.15,1.69,414,3.85,2.87,0.57,19.37,4.17,63.07,3.69,0.03,0.88,21.9
11,2,0.19,1.8,419,1.71,2.84,0.86,22.19,4.47,61.66,4.38,0.14,1.2,22
12,2,0.19,1.76,417,2.05,2.91,0.82,21.94,4.84,61.99,4.65,0.1,0.9,22
1,2,0.26,2.46,421,1.91,2.84,0.9,22.12,4.48,61.74,3.95,0.1,0.94,22
4,3,0.18,2.01,379,1.88,2.8,0.81,20.95,3.77,63.37,4.06,0.04,0.97,22
3,2,0.18,1.78,415,1.55,2.88,0.78,22,3.85,61.08,4.98,0.14,1,22.1
4,3,0.14,2.1,374,1.95,2.81,0.78,20.58,3.94,62.92,3.97,0.04,0.95,22.1
6,3,0.23,2.1,417,3.57,2.88,0.84,19.69,4.21,62.8,3.62,0.1,0.92,22.2
3,2,0.17,2.2,402,1.64,2.86,0.63,21.53,4.16,61.69,4.43,0.12,1,22.3
4,2,0.32,1.83,395,2.1,2.76,0.78,20.68,3.97,63.16,3.95,0.04,0.94,22.3
5,3,0.33,2.78,397,2.21,3.01,0.61,20.56,4.25,63.56,3.81,0.04,0.8,22.3
3,3,0.19,2.26,406,1.68,2.87,0.67,21.55,4.17,62.57,4.38,0.12,0.94,22.6
2,2,0.08,1.64,417,1.82,2.86,0.74,22.67,3.84,60.82,5.05,0.11,1.22,22.6
5,3,0.07,1.07,478,3.61,2.88,0.68,20.17,4.59,63.26,3.53,0.03,0.81,22.7
12,2,0.19,2.1,428,1.78,2.87,0.87,21.63,4.76,61.74,3.99,0.1,1.08,22.8
5,3,0.07,1.51,444,3.02,2.97,0.72,19.97,4.55,63.36,3.62,0.04,0.92,22.9
4,2,0.31,2.32,428,4.25,2.7,0.73,21.25,3.83,61.45,4.59,0.14,1.14,23
1,2,0.3,2.4,421,3.53,3.05,0.61,19.96,3.97,62.78,3.98,0.03,0.96,23.1
5,3,0.1,1.43,475,3.54,3.01,0.71,19.95,4.81,63.35,3.53,0.03,0.86,23.6
5,2,0.31,2.3,387,1.97,2.91,0.64,20.82,3.87,63.5,4.1,0.04,0.78,23.6
