x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,Y1
9,2,0.07,2.38,433,3.51,2.99,0.74,19.87,4.36,63.9,3.5,0.04,0.82,15.5
12,2,0.21,1.72,428,4.29,2.81,0.7,19.58,4.17,62.66,3.5,0.03,0.93,15.5
8,3,0.3,2.94,410,3.48,2.97,0.76,19.74,4.72,63.56,4.47,0.04,0.77,15.6
9,3,0.35,3.08,436,3.93,2.92,0.84,19.27,4.62,62.98,3.44,0.1,0.65,15.6
7,3,0.3,1.9,432,3.89,2.79,0.84,19.62,4.23,61.94,3.64,0.1,0.77,15.7
7,3,0.26,2.6,441,3.89,2.86,0.64,19.42,4,63.77,3.73,0.03,0.76,15.7
10,3,0.21,2.72,421,3.83,2.94,0.72,19.68,4.09,62.91,3.77,0.03,0.99,15.7
4,3,0.66,2.95,407,3.69,2.86,0.68,19.83,4.26,62.95,3.83,0.03,0.93,15.7
3,2,0.27,1.9,411,1.78,2.94,0.65,22.61,4.28,61.05,4.7,0.13,1.16,15.8
5,2,0.54,2.87,439,2.75,2.91,0.75,22.69,4.61,61.89,4.79,0.13,1.14,15.8
10,2,0.16,1.75,433,2.5,2.85,0.84,21.28,4.57,61.78,3.79,0.1,1.03,15.8
1,2,0.11,1.52,409,2.09,2.94,0.97,22.12,4.61,60.87,4.32,0.09,1.06,15.8
8,3,0.16,2.15,431,3.55,3.07,0.7,19.87,4.06,63.26,3.82,0.03,0.86,15.8
8,2,0.09,1.91,449,3.34,2.82,0.96,20.81,3.96,61.76,3.81,0.12,1.06,15.9
2,2,0.29,1.74,413,1.74,2.89,0.98,22.32,5.21,61.09,4.06,0.09,0.93,15.9
7,3,0.07,2,441,3.58,2.71,0.84,19.71,4.36,61.9,3.6,0.1,0.72,15.9
8,3,0.15,2.22,428,3.72,2.87,0.89,19.36,3.87,62.55,4.02,0.1,0.67,15.9
8,2,0.22,2.03,457,3.5,2.79,0.84,19.66,4.52,62.72,3.59,0.1,0.75,15.9
3,2,0.42,2.1,398,1.83,2.87,0.65,22.8,4.25,60.49,4.78,0.13,1.15,16
8,2,0.26,2.29,443,2.14,2.9,0.86,21.86,4.6,60.76,4.76,0.16,1.14,16
5,2,0.3,2.24,427,3.64,2.82,0.56,20.96,3.97,63.32,4.2,0.12,0.8,16
10,2,0.16,1.82,426,2.77,2.86,0.86,21.16,4.6,61.9,3.82,0.1,1.1,16
7,3,0.16,2,440,3.55,3.11,0.67,19.14,4.19,62.32,3.74,0.05,0.54,16
9,3,0.66,3.32,430,3.07,2.95,0.73,19.9,4.85,63.57,3.2,0.04,0.89,16
11,3,0.33,3.43,390,3.6,2.92,0.67,20,4.31,62.6,3.9,0.03,0.82,16
1,3,0.37,3.2,378,3.59,2.79,0.59,19.64,4.22,62.53,3.84,0.03,0.89,16
7,3,0.49,2.5,415,3.49,2.87,0.84,19.85,4.26,62.77,3.59,0.1,0.94,16.1
9,3,0.16,2.44,402,3.84,2.96,0.79,19.62,4.62,63.26,3.36,0.04,0.51,16.1
