,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
min,1.0,2.0,0.0,0.06,330.0,1.46,0.79,0.0,17.87,0.8,59.69,2.91,0.0,0.03
max,12.0,3.0,3.74,4.45,502.0,6.02,3.27,2.93,23.03,5.29,64.71,5.05,0.16,9.1
